event,file,record,day,utc,counts_total,SWEAP_Start,solar_distance_Rs,peak_channel,peak_measure,peak_residual_r,counts_lag_ms,V2_raw_envelope_r0,V2_residual_envelope_r0,V2_residual_signed_r0,V5_raw_envelope_r0,V5_residual_envelope_r0,V5_residual_signed_r0,V1V2_raw_envelope_r0,V1V2_residual_envelope_r0,V1V2_residual_signed_r0,V3V4_raw_envelope_r0,V3V4_residual_envelope_r0,V3V4_residual_signed_r0
3024,psp_fld_l2_tds_wf_20250316_v00.cdf,25,20250316,2025-03-16T15:49:51.880237000,45,0.5173307657241821,63.49112404772172,V3V4,envelope,0.3188280726531312,-0.5333333333333333,0.05533725686976272,0.2746489005515023,-0.03002788263700125,0.011603960932883546,0.045200556969507616,0.036448658745163384,0.05983037909302942,0.28017484146062255,0.022123974398260932,0.07184606935526712,0.2928678053906929,-0.02127552576311795
3025,psp_fld_l2_tds_wf_20250316_v00.cdf,26,20250316,2025-03-16T15:49:51.898868000,160,0.5359641313552856,63.49112404772172,V3V4,envelope,0.38838119761403633,1.0,-0.07379684403231572,-0.01963265558328648,0.05531225003533556,0.1590277493470444,0.12450369338503306,-0.051052888693668384,-0.07879359925603051,-0.01788214925948978,-0.014012882961762764,-0.0851216502607457,-0.011456068105505458,-0.04646578843022836
3026,psp_fld_l2_tds_wf_20250316_v00.cdf,27,20250316,2025-03-16T16:16:00.158689000,54,0.29741203784942627,63.37077907143884,V1V2,envelope,0.2259632783026819,-0.8,-0.09106010416158622,-0.02453796851862519,0.04927099616518768,-0.020305050191552654,-0.08693948877077587,-0.10420793315301849,-0.10079152612358308,-0.03542135748695199,-0.027188666386205478,-0.09365986167532095,-0.02865316213434886,-0.0016365991686292441
3027,psp_fld_l2_tds_wf_20250316_v00.cdf,28,20250316,2025-03-16T16:28:35.247739000,2133,0.41023629903793335,63.312771309472474,V5,signed_mean,0.3214625130992403,-0.6666666666666666,-0.09917201202800455,-0.0726196650579719,0.05901412938938255,0.07911184759991738,0.10955377401672152,0.12500432288926747,-0.11212959855266,-0.08412601503417136,-0.0674668221254883,-0.10360292863617952,-0.07543683848699381,0.04772802331799733
3028,psp_fld_l2_tds_wf_20250316_v00.cdf,29,20250316,2025-03-16T17:14:50.862417000,3224,0.7877974510192871,63.09914618369987,V3V4,signed_mean,0.30781021261739694,0.6666666666666666,0.08880523589550289,0.021483909087742583,-0.16704434636859666,0.02524874674817427,-0.020929748491182138,-0.0414071923035139,0.005001248960082449,-0.026845461614341606,0.1666292676039393,0.06737928394000428,-0.017495564333012508,0.1774954127419619
3029,psp_fld_l2_tds_wf_20250316_v00.cdf,30,20250316,2025-03-16T17:14:52.791129000,104,0.0951574444770813,63.098992381773755,V1V2,envelope,0.3562771045894925,0.8666666666666666,0.010336658744775525,0.025664931213508345,0.0359359583522106,-0.07447915433539566,-0.07151337036003974,-0.05358406179562017,0.06406137973401507,0.08439093570558404,0.15895191841398326,0.07964445713838789,0.10591042630149346,0.21954982289684113
3034,psp_fld_l2_tds_wf_20250316_v00.cdf,35,20250316,2025-03-16T19:34:38.898666000,1423,0.19833077490329742,62.45037228690528,V3V4,signed_mean,-0.18291530588099064,1.0666666666666667,0.0065420860645368645,0.04320249584017362,-0.038452761939765934,-0.008963577751228014,-0.03207424898710993,-0.12074314291376678,-0.03018477831561338,-0.020668746983270963,-0.04241933606782622,-0.0767278800397414,-0.017726199574627968,-0.0553300532580468
3040,psp_fld_l2_tds_wf_20250316_v00.cdf,41,20250316,2025-03-16T23:30:38.004281000,395,0.0020243229810148478,61.343857984763545,V5,signed_mean,0.17180330122223936,-1.0,0.07095851055253716,-0.09875565929046366,-0.059823768252432775,0.04682597917752958,0.014429912009015888,-0.01882758635764381,0.08283392786345037,-0.07906276714542891,0.02305482034620185,0.12596796894505302,-0.061784735660215945,-0.03463094823199067
3041,psp_fld_l2_tds_wf_20250317_v00.cdf,0,20250317,2025-03-17T00:41:44.405316000,665,0.4366174340248108,61.00754204398448,V1V2,envelope,0.2136025782455635,-0.7333333333333334,-0.12453381600959551,-0.01978728742422225,-0.10008115822210815,0.018518839686369137,0.048482862983628944,0.02959505244433097,-0.1171003006215974,0.001747094918689636,0.038727440976473376,-0.13489693530163932,-0.02789615006880125,0.04004358842391137
3042,psp_fld_l2_tds_wf_20250317_v00.cdf,1,20250317,2025-03-17T01:06:35.715522000,6968,0.14398661255836487,60.88970964496191,V2,envelope,-0.32869373557331144,-0.8666666666666666,-0.07430830898249505,-0.1670775067898239,-0.08555656860321009,-0.01352305515507363,-0.023132659095658602,-0.17808718637533758,-0.054300845182435456,-0.12501658105349503,0.014786369094754222,-0.06205318043574275,-0.12366140104020007,0.028478170416646294
