event,file,record,utc,day,SC_TWTA_On_Flag,voltage,scm,native_r0,envelope_r0,envelope_peak_r,scm_lag_ms,weighted_coherence_raw,weighted_coherence_outside_lines,masked_cross_spectral_weight_fraction,scm_power_remaining_fraction,peak_coherence_outside_lines,peak_coherence_frequency_hz,longest_coherent_run_hz,flags
3123,psp_fld_l2_tds_wf_20250317_v00.cdf,82,2025-03-17T17:59:15.643391000,20250317,0,V2,SCM4,-0.28958646182368397,0.10998628291471356,0.20649331945419666,1.0,0.8971851011349692,0.06452373288729883,0.9047581763413585,0.0208619215718245,0.471907485272027,437812.5,0.0,persistent-line dominated coherence
3123,psp_fld_l2_tds_wf_20250317_v00.cdf,82,2025-03-17T17:59:15.643391000,20250317,0,V5,SCM4,-0.4078397121292739,-0.04120560185306242,-0.13093620567479275,-0.4,0.9467082839640528,0.0747445992347395,0.9532664652722287,0.020894650320630048,0.4487012520718751,627187.5,0.0,persistent-line dominated coherence
3123,psp_fld_l2_tds_wf_20250317_v00.cdf,82,2025-03-17T17:59:15.643391000,20250317,0,V1V2,SCM4,0.2011823969477657,0.0973454497110296,0.20556291988253028,1.0,0.8365555764688206,0.0653938722114271,0.8458821230558735,0.0208619215718245,0.4939653481918809,850781.25,0.0,persistent-line dominated coherence
3123,psp_fld_l2_tds_wf_20250317_v00.cdf,82,2025-03-17T17:59:15.643391000,20250317,0,V3V4,SCM4,-0.2147989428617419,0.06874114893587796,0.15010230774047295,-0.8666666666666666,0.8478734392295514,0.06894787067263763,0.8536880285574541,0.02091803942382107,0.44197306722067514,615937.5,0.0,persistent-line dominated coherence
3124,psp_fld_l2_tds_wf_20250317_v00.cdf,83,2025-03-17T18:53:47.970022000,20250317,0,V2,SCM4,-0.35051747343458667,0.06596213423176395,0.12593434189803593,0.5333333333333333,0.8936047571206698,0.06586304484925608,0.8998026805441709,0.022673289605068266,0.7185871612701362,824062.5,468.75,persistent-line dominated coherence
3124,psp_fld_l2_tds_wf_20250317_v00.cdf,83,2025-03-17T18:53:47.970022000,20250317,0,V5,SCM4,-0.1185800965318085,0.0570088866742333,-0.1821726159299372,-0.3333333333333333,0.9430412317283637,0.07042040299153646,0.9498379069005577,0.02270309145752749,0.47113406540947883,365625.0,0.0,persistent-line dominated coherence
3124,psp_fld_l2_tds_wf_20250317_v00.cdf,83,2025-03-17T18:53:47.970022000,20250317,0,V1V2,SCM4,0.19881315514893594,0.07339031467448164,0.14272797844418944,0.5333333333333333,0.8290250255353723,0.06653572872454581,0.8417647897958607,0.022673289605068266,0.5636287575028905,682968.75,0.0,persistent-line dominated coherence
3124,psp_fld_l2_tds_wf_20250317_v00.cdf,83,2025-03-17T18:53:47.970022000,20250317,0,V3V4,SCM4,-0.028746869795794543,0.08473493353532482,0.13632947652986813,0.5333333333333333,0.8021514248582025,0.06428339154647741,0.8056223684596865,0.022753844238613635,0.46329946243529213,528750.0,0.0,persistent-line dominated coherence
3125,psp_fld_l2_tds_wf_20250317_v00.cdf,84,2025-03-17T20:17:39.048900000,20250317,0,V2,SCM4,0.1897754244894584,0.028646872506384032,-0.23769576451899058,0.3333333333333333,0.7782071374237133,0.07743951603481841,0.7911200232837337,0.0926595365145101,0.6169219517015174,824062.5,468.75,no threshold crossed
3125,psp_fld_l2_tds_wf_20250317_v00.cdf,84,2025-03-17T20:17:39.048900000,20250317,0,V5,SCM4,-0.35321359542355124,-0.039220790639036954,0.12263022346258041,0.6,0.8794266033698231,0.07139804474049632,0.8972581755948889,0.09283546742343066,0.37158334114835095,824062.5,0.0,persistent-line dominated coherence
