event,counts__log_dispersion_16,counts__log_dispersion_128,counts__log_dispersion_1024,counts__width90,counts__asymmetry,counts__top10pct_fraction,counts__bin_entropy,counts__spectral_entropy,counts__spectral_peak3,counts__fano_sample,count_pair_V2__envelope_corr,count_pair_V4__envelope_corr,count_pair_V1V2__envelope_corr,count_pair_V3V4__envelope_corr,count_pair_SCM5__envelope_corr
66,0.2460454112341878,0.7920120571696144,1.604001378527516,0.7654989919354844,0.08441563786008291,0.15920096852300242,0.9736349628819052,0.9758479122786058,0.050691602870174476,0.873427031315316,-0.13980974305966182,-0.08385902163169986,-0.11501481137385539,-0.12149113495575682,-0.1395596411622787
67,0.3316677225366116,1.0772801439917026,1.9199186517031712,0.8701698787197066,-0.01746291847328778,0.14175522797394582,0.9869727766261046,0.9882253836086076,0.019538524806501038,0.6211968426179927,0.014398375556588973,-0.017049272128522253,-0.01183383494139667,0.13050101580673973,-0.024113559580880715
68,0.22560797908634891,0.9246792599887266,1.7712896117601906,0.9076368707921313,-0.054684355570324916,0.12251595259799453,0.9936907507459296,0.9881968695245501,0.018918375173424665,0.5253555371578988,0.03631973209962756,0.02760692336391799,0.03842885639430772,0.029788904426145877,-0.06352668620653422
69,0.011250487306504143,0.20834199346833635,0.820873527000888,0.9076399739583282,-0.04884390679525959,0.13030790903602335,0.9969385934127187,0.9944888969156457,0.005371444580632902,0.7774403763123228,-0.07085465800445705,-0.11787379023737332,-0.013756473418784214,-0.05950398735182301,-0.07593628703857436
70,0.23890697091596258,0.7672149744874746,1.580946383697623,0.7738583754208757,0.08527737176654525,0.1575030376670717,0.974676467136713,0.9745688087575746,0.05275626939875035,0.8738255426278128,-0.07288908351258802,-0.08363583971797421,-0.04332104992754055,-0.07955724282683048,-0.04753344960089129
71,0.3842389848851986,1.1100807927728196,2.0070732025798956,0.8382324218749999,-0.5449134625598362,0.26559044670499776,0.941531982205319,0.9926807974439047,0.006248963760768416,0.9208511432772212,0.19175901045513102,0.02483820717773448,0.22169188192075376,0.08220815507729992,-0.07989498046286359
72,-0.013304246907750714,0.13732283528594516,0.5535616068584095,0.9039258465719058,0.006488163287329291,0.1301781275890638,0.997417489795518,0.9936933141290755,0.010709064566661285,0.7840537323998025,0.03906394573751462,0.08227526864249085,-0.02995104562835593,0.11395809254838321,0.10153548636465264
73,0.5025752889655914,1.2332957086642542,2.098366234965204,0.5217140480324068,0.537046730008631,0.4482758620689655,0.8194894152968352,0.9652762679390081,0.05506419427468506,1.011759411547849,0.08533727142007715,0.14580474914458502,0.07563996412872126,0.31231943654316396,0.16319763378455082
74,0.15639646434931048,0.7311998234222842,1.5579058180959042,0.8992094494047627,0.15985230081813842,0.14233158927403533,0.9915656477056513,0.9941005769521767,0.006035052951938052,0.7249979506291954,-0.033067478691216554,-0.039887254037326736,-0.08619512818672871,-0.1815580827898049,0.1861407747017263
75,0.004127792882755688,0.27393865726676947,0.9050010892431644,0.8961901542467948,-0.03955406849630795,0.13295134505195688,0.9965862049486988,0.9944942280684305,0.006206888533273428,0.7671668371868995,-0.14378100836407917,-0.11296254728667515,-0.05060430822919944,-0.12252877090846648,-0.03994524502110379
76,0.3772419950482109,1.147669830522125,2.007630192230129,0.8509991251421888,0.058802018917643424,0.13136071446096473,0.9878356880217299,0.9852060416282049,0.0241246532234567,0.5714359917737529,0.1034613570599984,0.10775088715789659,0.10719254732401294,0.11741565030206663,0.05984076237366854
